name,start_time,end_time,label,avg_val,avg_act,avg_dom
Ses01F_impro01_F000,6.2901,8.2357,neu,2.5,2.5,2.5
Ses01F_impro01_F001,10.01,11.3925,neu,2.5,2.5,2.5
Ses01F_impro01_F002,14.8872,18.0175,neu,2.5,2.5,2.5
Ses01F_impro01_F003,19.29,20.7875,xxx,2.5,3.0,3.0
Ses01F_impro01_F004,21.3257,24.74,xxx,2.5,3.0,2.5
Ses01F_impro01_F005,27.46,31.49,neu,2.5,3.5,2.0
Ses01F_impro01_F006,38.965,43.59,fru,2.0,3.5,3.5
Ses01F_impro01_F007,46.58,52.19,fru,2.5,3.5,3.5
Ses01F_impro01_F008,56.16,58.8225,fru,2.0,3.5,3.5
Ses01F_impro01_F009,61.87,65.97,fru,2.0,3.5,3.0
Ses01F_impro01_F010,66.42,69.34,xxx,1.5,3.5,3.5
Ses01F_impro01_F011,72.45,82.26,fru,2.0,3.5,3.5
Ses01F_impro01_F012,85.27,88.02,ang,2.0,3.5,3.5
Ses01F_impro01_F013,93.67,97.0218,fru,2.0,4.0,3.5
Ses01F_impro01_F014,97.89,102.96,neu,2.5,3.5,3.5
Ses01F_impro01_F015,103.97,106.71,fru,2.0,3.5,3.0
Ses01F_impro01_M000,7.5712,10.475,fru,2.5,2.0,2.5
Ses01F_impro01_M001,10.9266,14.6649,fru,2.5,2.0,2.5
Ses01F_impro01_M002,16.8352,19.7175,fru,2.0,3.5,3.5
Ses01F_impro01_M003,23.47,28.03,fru,2.5,3.5,3.5
Ses01F_impro01_M004,28.395,31.2117,fru,2.0,4.0,3.5
Ses01F_impro01_M005,31.266,39.3875,fru,2.0,3.5,3.5
Ses01F_impro01_M006,41.23,46.98,fru,2.0,3.5,3.5
Ses01F_impro01_M007,51.4,57.64,fru,2.5,3.5,3.0
Ses01F_impro01_M008,58.18,62.59,fru,2.0,3.5,3.5
Ses01F_impro01_M009,65.51,73.0,fru,2.5,3.5,4.0
Ses01F_impro01_M010,81.59,86.03,fru,2.0,4.5,4.0
Ses01F_impro01_M011,87.15,94.39,ang,2.0,4.0,4.0
Ses01F_impro01_M012,95.86,98.68,xxx,3.0,1.5,2.0
Ses01F_impro01_M013,101.84,107.87,ang,2.0,4.5,4.5
Ses01F_impro02_F000,7.2688,16.6,sad,2.5,2.0,1.5
Ses01F_impro02_F001,19.85,22.78,sad,2.0,1.5,1.5
Ses01F_impro02_F002,26.5659,32.2895,sad,2.0,1.5,1.5
Ses01F_impro02_F003,32.3075,37.96,neu,2.0,2.0,2.0
Ses01F_impro02_F004,47.34,53.11,sad,2.5,2.0,2.5
Ses01F_impro02_F005,58.75,61.31,sad,2.0,2.0,2.5
Ses01F_impro02_F006,64.255,68.47,neu,2.5,2.5,2.5
Ses01F_impro02_F007,72.39,78.57,xxx,2.0,3.5,3.0
Ses01F_impro02_F008,87.2031,91.09,sad,1.5,2.0,1.5
Ses01F_impro02_F009,91.55,95.88,xxx,1.5,1.5,2.0
Ses01F_impro02_F010,97.94,102.19,sad,2.0,1.5,2.0
Ses01F_impro02_F011,107.68,111.0153,xxx,2.5,2.5,2.5
Ses01F_impro02_F012,117.83,120.8605,sad,3.5,2.0,1.5
Ses01F_impro02_F013,127.82,133.9455,sad,1.5,2.0,2.0
Ses01F_impro02_F014,139.03,146.43,sad,1.5,2.0,2.0
Ses01F_impro02_F015,151.4221,155.01,sad,2.0,2.5,2.5
Ses01F_impro02_F016,163.54,165.73,neu,2.0,1.0,2.5
Ses01F_impro02_F017,169.36,176.015,sad,3.5,3.0,2.5
Ses01F_impro02_F018,176.08,179.13,neu,2.5,2.5,2.5
Ses01F_impro02_F019,182.83,185.8894,sad,2.5,1.5,2.0
Ses01F_impro02_F020,186.58,191.11,sad,4.0,2.0,2.5
Ses01F_impro02_M000,17.6,20.6264,xxx,2.0,2.5,2.5
Ses01F_impro02_M001,21.76,27.5558,sad,2.0,2.5,2.5
Ses01F_impro02_M002,38.85,45.09,xxx,2.5,3.0,2.5
Ses01F_impro02_M003,52.71,59.0534,fru,2.0,3.0,3.0
Ses01F_impro02_M004,61.75,65.055,xxx,2.0,3.0,2.0
Ses01F_impro02_M005,69.34,74.29,sad,2.0,3.0,1.5
Ses01F_impro02_M006,80.03,86.99,xxx,2.0,3.0,1.5
Ses01F_impro02_M007,103.27,107.1,xxx,2.0,3.0,2.5
Ses01F_impro02_M008,110.5653,113.2,fru,2.5,1.5,2.0
Ses01F_impro02_M009,114.1775,117.85,sad,2.0,1.5,2.5
Ses01F_impro02_M010,120.4105,124.63,sad,2.0,2.0,1.5
Ses01F_impro02_M011,133.88,137.1,sad,2.5,1.5,2.5
Ses01F_impro02_M012,147.03,151.7101,neu,2.5,2.0,2.0
Ses01F_impro02_M013,157.98,162.71,sad,1.5,2.0,2.0
Ses01F_impro02_M014,164.885,169.5,sad,1.5,3.0,1.5
Ses01F_impro02_M015,175.47,176.72,neu,3.0,3.0,1.5
Ses01F_impro02_M016,195.1047,199.52,fru,2.0,1.5,2.5
Ses01F_impro03_F000,4.88,7.74,hap,4.3333,2.6667,2.6667
Ses01F_impro03_F001,7.93,11.37,hap,4.0,2.6667,2.6667
Ses01F_impro03_F002,12.8,15.37,hap,4.3333,3.0,2.3333
Ses01F_impro03_F003,15.87,20.4867,xxx,5.0,4.0,3.0
Ses01F_impro03_F004,21.75,25.52,hap,4.6667,3.6667,2.3333
Ses01F_impro03_F005,25.5584,28.14,hap,4.3333,4.0,2.3333
Ses01F_impro03_F006,28.37,34.71,hap,4.0,3.3333,2.6667
Ses01F_impro03_F007,35.6349,40.1,xxx,4.0,3.3333,2.3333
Ses01F_impro03_F008,40.12,42.79,hap,4.0,3.3333,2.3333
Ses01F_impro03_F009,42.84,44.54,hap,4.0,2.6667,2.3333
Ses01F_impro03_F010,47.87,51.075,hap,4.0,3.3333,3.0
Ses01F_impro03_F011,51.36,53.4925,xxx,4.0,3.0,2.3333
Ses01F_impro03_F012,55.865,58.15,hap,4.0,3.6667,2.6667
Ses01F_impro03_F013,60.73,65.86,hap,5.0,4.0,3.3333
Ses01F_impro03_F014,68.01,73.75,xxx,4.0,3.3333,2.3333
Ses01F_impro03_F015,74.2675,78.8425,exc,4.6667,3.6667,3.0
Ses01F_impro03_F016,79.035,81.0875,hap,4.0,3.0,2.3333
Ses01F_impro03_F017,82.0975,85.08,neu,3.6667,2.6667,2.3333
Ses01F_impro03_F018,85.1,88.0225,neu,3.6667,3.0,2.0
Ses01F_impro03_F019,88.08,89.5,neu,3.6667,2.3333,2.0
Ses01F_impro03_F020,91.235,92.615,xxx,3.6667,3.0,2.3333
Ses01F_impro03_F021,92.75,98.21,hap,3.3333,3.6667,2.6667
Ses01F_impro03_F022,99.7775,102.03,neu,3.3333,2.6667,2.0
Ses01F_impro03_F023,102.62,103.4625,neu,3.0,2.3333,2.0
Ses01F_impro03_F024,103.78,108.1825,hap,4.3333,3.0,2.6667
Ses01F_impro03_F025,110.23,114.16,hap,4.3333,3.3333,3.3333
Ses01F_impro03_F026,114.19,120.2,hap,4.6667,4.0,3.0
Ses01F_impro03_M000,3.24,5.46,neu,4.0,3.0,2.6667
Ses01F_impro03_M001,6.6,8.66,neu,4.3333,2.6667,2.3333
Ses01F_impro03_M002,10.53,13.84,sur,4.3333,3.3333,2.6667
Ses01F_impro03_M003,14.93,18.9075,exc,5.0,4.6667,3.0
Ses01F_impro03_M004,20.2532,22.83,xxx,4.6667,4.0,2.3333
Ses01F_impro03_M005,27.28,29.65,xxx,4.0,3.3333,2.3333
Ses01F_impro03_M006,34.25,36.34,neu,4.0,2.6667,2.3333
Ses01F_impro03_M007,37.7175,40.47,hap,4.0,3.0,2.3333
Ses01F_impro03_M008,42.09,43.41,neu,4.0,2.6667,2.0
Ses01F_impro03_M009,44.16,49.07,neu,3.6667,2.3333,2.3333
Ses01F_impro03_M010,49.61,52.43,xxx,4.0,3.3333,3.0
Ses01F_impro03_M011,52.92,56.85,neu,3.6667,3.6667,2.6667
Ses01F_impro03_M012,57.46,61.375,xxx,4.3333,3.6667,2.6667
Ses01F_impro03_M013,65.6425,68.44,hap,4.6667,4.0,3.0
Ses01F_impro03_M014,73.41,76.9975,hap,4.3333,3.6667,2.6667
Ses01F_impro03_M015,78.32,80.5,hap,4.0,3.0,2.6667
Ses01F_impro03_M016,80.7175,82.5225,neu,3.6667,2.6667,2.6667
Ses01F_impro03_M017,84.6925,87.36,sur,3.6667,3.6667,2.3333
Ses01F_impro03_M018,87.6425,89.08,sur,3.0,2.6667,2.6667
Ses01F_impro03_M019,89.12,93.91,neu,3.0,3.0,2.3333
Ses01F_impro03_M020,97.03,101.65,neu,3.3333,3.0,2.6667
Ses01F_impro03_M021,101.67,104.35,neu,3.0,3.3333,2.6667
Ses01F_impro03_M022,105.29,106.95,exc,4.0,3.3333,2.6667
Ses01F_impro03_M023,107.71,111.4,hap,4.6667,4.3333,3.6667
Ses01F_impro03_M024,117.36,119.58,neu,3.6667,2.6667,2.3333
Ses01F_impro04_F000,7.2455,11.64,neu,3.0,3.0,3.0
Ses01F_impro04_F001,11.7448,16.15,neu,2.5,2.5,3.0
Ses01F_impro04_F002,18.6,30.8976,fru,2.5,3.5,3.0
Ses01F_impro04_F003,35.009,37.8,xxx,2.5,3.0,2.5
Ses01F_impro04_F004,40.23,41.95,xxx,2.5,2.5,2.0
Ses01F_impro04_F005,43.35,45.7596,neu,3.0,2.0,2.5
Ses01F_impro04_F006,46.2735,49.83,neu,3.0,3.5,3.5
Ses01F_impro04_F007,50.11,54.31,fru,3.0,3.5,4.0
Ses01F_impro04_F008,54.37,55.67,xxx,2.0,3.5,3.5
Ses01F_impro04_F009,58.71,60.0937,neu,2.5,2.5,2.5
Ses01F_impro04_F010,60.6771,66.5275,xxx,2.0,3.5,3.0
Ses01F_impro04_F011,69.43,70.94,xxx,2.5,3.0,3.0
Ses01F_impro04_F012,72.13,74.73,xxx,2.5,2.5,4.0
Ses01F_impro04_F013,76.49,80.7269,neu,3.0,3.5,3.5
Ses01F_impro04_F014,85.49,86.98,neu,2.5,3.0,2.5
Ses01F_impro04_F015,87.2203,93.33,xxx,2.0,4.0,3.5
Ses01F_impro04_F016,97.41,101.0475,fru,2.0,4.0,3.5
Ses01F_impro04_F017,102.78,105.415,fru,2.0,4.5,4.0
Ses01F_impro04_F018,106.17,111.86,fru,2.0,4.5,3.5
Ses01F_impro04_F019,114.92,122.31,fru,3.0,3.5,3.0
Ses01F_impro04_F020,122.4,129.93,xxx,2.0,3.0,3.5
Ses01F_impro04_F021,133.74,137.44,fru,2.0,2.0,3.0
Ses01F_impro04_F022,138.13,139.89,fru,2.0,2.0,2.5
Ses01F_impro04_F023,148.55,152.85,fru,2.0,2.5,3.0
